City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Kencong,ID,75.06,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
424,Nouakchott,MR,89.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN
428,Obidos,BR,88.77,scattered clouds,-1.9175,-55.5181,Hotel Amazônia Center
433,Hobyo,SO,78.53,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
436,Singkang,MY,76.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
439,Bourail,NC,77.68,overcast clouds,-21.5667,165.4833,Motel Allamanda
441,Chiltepec,MX,77.14,clear sky,18.4847,-96.9019,Santa Cruz Huitzmaloc
442,Hambantota,LK,79.56,few clouds,6.1241,81.1185,Bungalow 63
445,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
453,Sinazongwe,ZM,83.89,few clouds,-17.2614,27.4618,Lakeview Lodge
456,Monte Azul,BR,84.9,overcast clouds,-15.155,-42.8747,Hotel Delfino
457,Ransang,PH,77.4,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
462,Sanghar,PK,78.87,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
464,Coronel Oviedo,PY,86.31,overcast clouds,-25.4167,-56.45,Quinta Sanabria
465,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
470,Takoradi,GH,86.2,light rain,4.8845,-1.7554,Raybow International Hotel
473,Ingleside,US,76.06,mist,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
475,Inhambane,MZ,80.6,clear sky,-23.865,35.3833,Oceano
476,Mana,GF,81.3,few clouds,5.6592,-53.7767,LE SAMANA
480,Esmeraldas,BR,82.51,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
484,Ailigandi,PA,79.9,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
487,Ndjole,GA,85.05,light rain,-0.1783,10.7649,Motel Kédyann
