City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Puerto Lleras,CO,2022-02-21 16:07:46,3.0223,-73.4044,92.97,24,88,9.98,overcast clouds
131,Bambous Virieux,MU,2022-02-21 16:07:46,-20.3428,57.7575,81.21,88,67,21.85,light rain
132,Humaita,BR,2022-02-21 16:07:47,-7.5061,-63.0208,76.05,91,100,3.15,overcast clouds
133,Meulaboh,ID,2022-02-21 16:07:47,4.1363,96.1285,78.98,81,95,4.32,overcast clouds
134,Pevek,RU,2022-02-21 16:07:47,69.7008,170.3133,-40.81,100,66,1.97,broken clouds
135,Kalmunai,LK,2022-02-21 16:07:47,7.4167,81.8167,78.69,80,2,4.9,clear sky
136,Trairi,BR,2022-02-21 16:08:48,-3.2778,-39.2689,87.04,57,83,14.12,broken clouds
137,Avera,US,2022-02-21 16:08:48,33.194,-82.5271,66.94,71,92,6.17,overcast clouds
138,Antofagasta,CL,2022-02-21 16:08:48,-23.65,-70.4,76.21,61,0,9.26,clear sky
139,Hun,LY,2022-02-21 16:08:49,29.1268,15.9477,71.19,31,5,14.67,clear sky
140,Fort Walton Beach,US,2022-02-21 16:07:16,30.4058,-86.6188,67.08,63,75,5.75,broken clouds
141,Cape Town,ZA,2022-02-21 16:07:14,-33.9258,18.4232,75.34,64,1,5.01,clear sky
142,Camana,PE,2022-02-21 16:08:49,-16.6228,-72.7111,75.96,74,100,9.73,overcast clouds
143,Anacortes,US,2022-02-21 16:08:49,48.5126,-122.6127,37.58,95,0,1.01,clear sky
144,Gazanjyk,TM,2022-02-21 16:08:50,39.2446,55.5154,55.26,41,62,6.26,broken clouds
145,Tavda,RU,2022-02-21 16:08:50,58.0425,65.2726,33.06,87,99,10.54,overcast clouds
146,Tabuk,PH,2022-02-21 16:08:50,17.4189,121.4443,70.74,96,100,1.07,overcast clouds
147,Guarapari,BR,2022-02-21 16:08:51,-20.6667,-40.4975,89.49,69,60,8.12,broken clouds
148,Porto Novo,BJ,2022-02-21 16:08:51,6.4965,2.6036,88.3,56,90,11.32,overcast clouds
149,Udachnyy,RU,2022-02-21 16:08:51,66.4167,112.4,-3.35,100,86,4.0,overcast clouds
150,Storforshei,NO,2022-02-21 16:08:52,66.4043,14.5233,22.78,63,75,2.3,broken clouds
151,Codrington,AU,2022-02-21 16:08:52,-38.2667,141.9667,58.03,68,92,8.57,overcast clouds
152,Malindi,KE,2022-02-21 16:08:52,-3.2175,40.1191,79.36,84,95,12.55,overcast clouds
153,Loa Janan,ID,2022-02-21 16:08:53,-0.583,117.095,71.65,97,100,0.94,overcast clouds
154,Qandala,SO,2022-02-21 16:08:53,11.472,49.8728,74.8,82,60,2.98,broken clouds
155,Buala,SB,2022-02-21 16:08:53,-8.145,159.5921,80.51,80,100,2.1,light rain
156,Muriwai Beach,NZ,2022-02-21 16:08:54,-36.8167,174.45,66.42,94,6,4.41,clear sky
157,Kodiak,US,2022-02-21 16:08:54,57.79,-152.4072,38.71,87,100,3.44,overcast clouds
158,Northam,GB,2022-02-21 16:08:54,51.0333,-4.2167,52.02,77,5,26.69,clear sky
159,Hermanus,ZA,2022-02-21 16:08:54,-34.4187,19.2345,71.91,77,1,13.49,clear sky
160,Gelemso,ET,2022-02-21 16:08:55,8.8167,40.5167,67.96,41,90,8.43,overcast clouds
161,Noumea,NC,2022-02-21 16:08:55,-22.2763,166.4572,81.0,99,96,7.2,light rain
162,Bethel,US,2022-02-21 16:08:55,41.3712,-73.414,47.25,52,0,3.44,clear sky
163,Yulara,AU,2022-02-21 16:08:56,-25.2406,130.9889,73.24,35,0,8.05,clear sky
164,Bengkulu,ID,2022-02-21 16:08:56,-3.8004,102.2655,77.14,87,99,2.62,moderate rain
165,Airai,TL,2022-02-21 16:08:56,-8.9266,125.4092,60.22,98,100,1.01,heavy intensity rain
166,Isernia,IT,2022-02-21 16:08:56,41.6002,14.2382,57.67,94,100,8.95,overcast clouds
167,Waiuku,NZ,2022-02-21 16:08:57,-37.25,174.75,67.32,88,26,3.42,scattered clouds
168,Aklavik,CA,2022-02-21 16:08:57,68.2191,-135.0107,-20.45,90,10,15.17,clear sky
169,Yar-Sale,RU,2022-02-21 16:08:57,66.8333,70.8333,18.25,96,100,8.14,light snow
170,Los Llanos De Aridane,ES,2022-02-21 16:08:58,28.6585,-17.9182,62.35,74,40,10.36,scattered clouds
171,Sidhpura,IN,2022-02-21 16:08:58,27.6333,78.8833,59.95,44,0,4.38,clear sky
172,Brigantine,US,2022-02-21 16:08:58,39.4101,-74.3646,53.2,51,0,0.0,clear sky
173,Nampula,MZ,2022-02-21 16:08:59,-15.1165,39.2666,73.63,96,100,3.85,moderate rain
174,The Valley,AI,2022-02-21 16:08:52,18.217,-63.0578,84.06,65,40,13.8,scattered clouds
175,Vila Franca Do Campo,PT,2022-02-21 16:08:59,37.7167,-25.4333,61.21,64,98,5.64,overcast clouds
176,Puerto Leguizamo,CO,2022-02-21 16:08:59,-0.1934,-74.7819,91.44,34,66,6.82,broken clouds
177,Khurai,IN,2022-02-21 16:09:00,24.0436,78.3319,68.47,21,0,2.59,clear sky
178,Kangaatsiaq,GL,2022-02-21 16:06:13,68.3065,-53.4641,-5.94,95,100,4.05,overcast clouds
179,Hokitika,NZ,2022-02-21 16:09:00,-42.7167,170.9667,56.71,88,12,4.21,few clouds
