City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Georgetown,MY,2022-02-19 17:21:59,5.4112,100.3354,83.95,87,20,3.44
129,Itigi,TZ,2022-02-19 17:24:26,-5.7,34.4833,65.82,89,93,2.53
130,El Nispero,HN,2022-02-19 17:25:26,14.7667,-88.3333,81.21,63,77,4.76
131,Opuwo,NA,2022-02-19 17:25:26,-18.0607,13.84,77.61,61,100,9.66
132,Korla,CN,2022-02-19 17:25:27,41.7597,86.1469,26.92,48,2,2.98
133,Paso De Los Toros,UY,2022-02-19 17:25:27,-32.8167,-56.5167,87.12,33,0,7.4
134,Sola,VU,2022-02-19 17:25:27,-13.8833,167.55,82.0,73,100,9.33
135,Xining,CN,2022-02-19 17:25:28,36.6167,101.7667,11.79,88,29,0.34
136,Puerto Del Rosario,ES,2022-02-19 17:25:28,28.5004,-13.8627,67.75,73,40,14.97
137,Wasilla,US,2022-02-19 17:24:09,61.5814,-149.4394,33.37,88,100,6.91
138,Pedregulho,BR,2022-02-19 17:25:28,-20.2569,-47.4767,70.79,75,98,4.65
139,Kudahuvadhoo,MV,2022-02-19 17:25:29,2.6708,72.8944,82.56,68,98,12.21
140,Esperance,AU,2022-02-19 17:25:29,-33.8667,121.9,67.84,85,99,15.43
141,Khrebtovaya,RU,2022-02-19 17:25:29,56.7032,104.2494,-0.71,99,99,2.24
142,Flin Flon,CA,2022-02-19 17:25:30,54.7682,-101.865,-4.16,71,100,8.05
143,Innisfail,AU,2022-02-19 17:25:30,-17.5333,146.0333,77.67,86,85,5.57
144,Fukue,JP,2022-02-19 17:25:30,32.6881,128.8419,44.6,66,47,34.65
145,Lethem,GY,2022-02-19 17:25:31,3.3803,-59.7968,96.08,31,52,11.56
146,Waipawa,NZ,2022-02-19 17:25:31,-41.4122,175.5153,55.45,96,100,10.87
147,Karratha,AU,2022-02-19 17:25:31,-20.7377,116.8463,90.46,50,43,8.63
148,Nicoya,CR,2022-02-19 17:25:32,10.1483,-85.452,87.35,34,5,14.5
149,Iskateley,RU,2022-02-19 17:25:32,67.6803,53.1512,27.63,89,100,20.36
150,Cayenne,GF,2022-02-19 17:25:32,4.9333,-52.3333,81.09,82,75,9.22
151,Pevek,RU,2022-02-19 17:25:33,69.7008,170.3133,-36.24,99,44,4.88
152,Salalah,OM,2022-02-19 17:25:03,17.0151,54.0924,75.29,69,40,3.44
153,The Valley,AI,2022-02-19 17:25:33,18.217,-63.0578,82.26,65,40,13.8
154,Chitipa,MW,2022-02-19 17:25:34,-9.7024,33.2697,63.57,95,100,2.15
155,Tarauaca,BR,2022-02-19 17:25:34,-8.1614,-70.7656,83.1,78,85,3.04
156,Braganca,BR,2022-02-19 17:25:35,-1.0536,-46.7656,87.93,54,41,6.35
157,Gorin,RU,2022-02-19 17:25:35,51.1983,136.6669,-0.49,99,100,2.57
158,Camalu,MX,2022-02-19 17:25:36,30.85,-116.0667,62.42,31,2,3.49
159,Vigrestad,NO,2022-02-19 17:25:36,58.5667,5.7,33.96,94,100,9.42
